Individual	Children_u16	Car_travel_time	PT_travel_time	Chosen_alternative
134	0	29	91	1
135	1	43	41	0
136	0	43	95	1
137	0	33	61	1
138	1	50	79	1
139	1	73	56	0
140	1	10	39	1
141	0	16	63	1
142	0	27	30	0
143	1	21	62	1
144	1	43	47	0
145	1	48	79	1
146	1	62	50	0
147	0	23	36	0
148	1	23	18	0
149	1	15	41	0
150	0	12	17	0
151	1	25	15	0
152	1	41	23	0
153	1	25	11	0
154	0	24	49	0
155	1	36	12	0
156	1	43	94	1
157	0	19	74	1
158	0	58	70	0
159	1	62	71	0
160	1	49	100	1
161	1	38	54	0
162	0	29	91	1
163	1	43	41	0
164	0	43	95	1
165	0	33	61	1
166	1	50	79	1
167	1	73	56	0
168	1	10	39	1
169	0	16	63	1
170	0	27	30	0
171	1	21	62	1
172	1	43	47	0
173	1	48	79	1
174	1	62	50	0
175	0	23	36	0
176	1	23	18	0
177	1	15	41	0
178	0	12	17	0
179	1	25	15	0
180	1	41	23	0
181	1	11	56	1
182	1	28	68	1
183	0	47	87	1
184	1	72	42	0
185	0	59	61	0
186	1	15	13	0
187	1	61	98	1
188	0	51	56	0
189	0	77	81	0
190	0	23	25	0
191	0	58	78	1
192	0	37	94	1
193	1	26	82	1
194	0	61	54	0
195	0	36	12	0
196	1	43	94	1
197	1	19	74	1
198	0	58	70	0
199	0	62	71	0
200	1	49	100	1
201	1	38	54	0
202	1	29	91	1
203	0	43	41	0
204	1	43	95	1
205	0	33	61	1
206	0	50	79	1
207	1	73	56	0
208	1	10	39	1
209	1	16	63	1
210	0	27	30	0
211	0	21	62	1
212	1	43	47	0
213	1	48	79	1
214	1	62	50	0
215	1	23	36	0
216	0	23	18	0
217	1	15	41	0
218	1	12	17	0
219	0	25	15	0
220	1	41	23	0
221	1	25	11	0
222	1	24	49	0
223	0	36	12	0
224	1	43	94	1
225	1	19	74	1
226	0	58	70	0
227	0	62	71	0
228	1	49	100	1
229	1	38	54	0
230	1	29	91	1
231	0	43	41	0
232	1	43	95	1
233	0	33	61	1
234	0	50	79	1
235	1	73	56	0
236	1	10	39	1
237	1	16	63	1
238	0	27	30	0
239	0	21	62	1
240	1	43	47	0
241	1	48	79	1
242	1	62	50	0
243	1	23	36	0
244	0	43	95	1
245	0	33	61	1
246	1	50	79	1
247	1	73	56	0
248	1	10	39	1
249	0	16	63	1
250	0	27	30	0
251	1	21	62	1
252	1	43	47	0
253	1	48	79	1
254	1	62	50	0
255	0	23	36	0
256	1	23	18	0
257	1	15	41	0
258	0	12	17	0
259	1	25	15	0
260	1	41	23	0
261	1	10	39	1
262	0	16	63	1
263	0	27	30	0
264	1	21	62	1
265	1	43	47	0
266	1	48	79	1
267	1	62	50	0
268	0	23	36	0
269	1	23	18	0
270	1	15	41	0
271	0	12	17	0
272	1	25	15	0
273	1	41	23	0
274	1	25	11	0
275	0	24	49	0
276	0	13	67	1
277	0	17	55	1
278	0	16	36	1
279	0	26	59	0
280	1	11	56	1
281	0	28	68	1
282	1	47	87	1
283	0	72	42	0
284	1	21	62	1
285	0	43	47	0
286	1	48	79	1
287	0	62	50	0
288	0	23	36	0
289	1	23	18	0
290	1	15	41	0
291	0	12	17	0
292	1	25	15	0
293	1	41	23	0
294	1	25	11	0
295	1	24	49	0
296	0	36	12	0
297	0	43	94	1
298	1	19	74	1
299	1	58	70	0
300	1	62	71	0
301	1	49	100	1
302	0	38	54	0
303	1	29	91	1
304	1	43	41	0
305	1	43	95	1
306	0	33	61	1
307	1	50	79	1
308	1	73	56	0
309	0	10	39	1
310	1	16	63	1
311	0	27	30	0
312	1	21	62	1
313	0	43	47	0
314	0	48	79	1
315	1	62	50	0
316	1	23	36	0
317	0	43	95	1
318	1	33	61	1
319	1	50	79	1
320	1	73	56	0
321	1	10	39	1
322	0	16	63	1
323	0	27	30	0
324	1	21	62	1
325	1	43	47	0
326	1	48	79	1
327	1	62	50	0
328	0	23	36	0
329	1	23	18	0
330	1	15	41	0
331	1	12	17	0
332	0	25	15	0
333	1	28	48	0
334	1	48	64	0
335	0	36	70	1
336	1	15	72	1
337	0	14	36	0
338	1	43	49	1
339	0	53	17	0
340	0	23	36	0
341	1	23	18	0
342	1	15	41	0
343	0	12	17	0
344	1	25	15	0
345	1	41	23	0
346	1	25	11	0
347	1	24	49	0
348	0	13	67	1
349	0	17	55	1
350	1	16	36	1
351	0	26	59	0
352	0	11	56	1
353	1	28	68	1
354	1	47	87	1
355	0	72	42	0
356	1	59	61	0
357	1	15	13	0
358	1	61	98	1
359	1	51	56	0
360	0	39	21	0
361	0	76	20	0
362	1	29	68	1
363	1	48	96	1
364	1	28	48	0
365	1	48	64	0
366	0	36	70	1
367	1	15	72	1
368	1	14	36	0
369	1	43	49	1
370	0	53	17	0
371	1	23	36	0
372	1	23	18	0
373	0	15	41	0
374	1	12	17	0
375	0	25	15	0
376	0	41	23	0
377	1	25	11	0
378	1	24	49	0
379	0	13	67	1
380	0	17	55	1
381	1	16	36	1
382	1	26	59	0
383	1	11	56	1
384	0	28	68	1
385	1	47	87	1
386	0	72	42	0
387	0	59	61	0
388	1	15	13	0
389	1	61	98	1
390	1	51	56	0
391	0	39	21	0
392	0	76	20	0
393	1	29	68	1
394	1	48	96	1
395	1	51	56	0
396	1	39	21	0
397	1	76	20	0
398	1	29	68	1
399	1	48	96	1
400	1	76	20	0
