ID	bus_IVT	bus_TA	bus_WT	bus_Cost	BS_TT	BS_Cost	car_TT	car_PT	car_Cost	car_PCost	Choice
59	50	10	15	6	40	3.5	45	2	4	5	2
60	40	10	15	4	40	3.5	15	8	4	3	3
61	20	10	10	4	60	1.5	35	5	2	3	1
62	40	10	10	4	40	3.5	45	2	2	5	2
63	40	5	15	4	50	3.5	25	2	2	3	3
64	20	10	10	4	60	1.5	25	8	4	3	1
65	40	10	10	6	40	1.5	35	5	2	3	2
66	20	10	10	4	60	3.5	35	5	2	3	1
67	30	10	10	4	50	1.5	45	2	4	3	1
68	40	5	10	6	40	3.5	45	5	4	5	2
69	50	10	15	6	50	3.5	25	8	4	5	3
70	50	5	15	6	50	1.5	45	5	4	3	3
71	50	5	15	6	60	1.5	15	5	4	5	3
72	20	10	15	6	50	3.5	35	5	2	5	1
73	40	10	15	4	60	1.5	35	8	4	3	3
74	30	10	10	4	40	1.5	15	8	2	5	3
75	30	10	15	6	40	1.5	45	2	4	5	2
76	40	5	15	6	50	1.5	25	2	4	5	3
77	30	5	15	4	40	1.5	45	2	4	3	2
78	20	5	10	6	50	3.5	45	5	4	5	1
79	30	10	10	4	40	1.5	15	2	2	3	3
80	50	5	10	4	40	3.5	25	2	4	5	3
81	40	10	10	6	50	3.5	45	5	2	5	3
82	20	10	15	4	50	1.5	25	5	4	5	1
83	30	5	10	6	50	1.5	15	8	4	3	3
84	40	10	10	6	60	1.5	15	5	4	5	3
85	50	5	10	6	40	1.5	15	5	4	5	3
86	30	10	15	6	50	3.5	15	5	2	5	3
87	20	5	10	4	40	1.5	25	8	2	3	1
88	30	10	10	4	50	3.5	35	5	4	5	1
89	50	10	10	6	40	3.5	45	2	2	5	2
90	40	10	10	4	60	3.5	15	5	2	5	3
91	50	5	10	4	60	1.5	25	8	4	5	3
92	50	10	10	6	50	3.5	25	5	2	3	3
93	20	10	15	6	50	1.5	15	5	4	3	3
94	40	5	10	4	60	1.5	35	8	4	3	3
95	20	5	10	6	60	3.5	15	8	4	3	3
96	50	5	10	6	50	1.5	35	8	4	3	3
97	40	10	10	4	60	3.5	25	8	2	3	3
98	50	10	15	4	50	1.5	15	5	2	3	3
99	50	5	10	4	60	3.5	15	8	4	5	3
100	30	5	10	6	40	3.5	15	8	4	5	3
101	50	5	10	6	60	3.5	25	8	2	5	3
102	50	5	10	6	50	1.5	35	8	2	5	3
103	40	5	15	4	60	1.5	35	2	2	5	3
104	40	10	15	4	50	1.5	35	8	4	3	3
105	50	5	15	4	60	1.5	25	5	4	5	3
106	30	5	15	6	40	1.5	35	2	2	5	3
107	30	10	15	4	60	3.5	25	2	4	3	3
108	40	5	10	4	50	3.5	35	2	2	5	3
109	50	10	10	6	50	3.5	15	8	2	3	3
110	20	5	10	6	40	3.5	15	2	2	5	3
111	40	5	10	6	40	3.5	35	5	2	3	3
112	30	5	15	6	60	3.5	15	8	4	3	3
113	20	5	15	4	50	3.5	45	2	4	3	1
114	50	10	10	4	40	1.5	35	5	4	5	2
115	40	5	10	6	50	1.5	45	5	4	5	2
116	50	10	10	6	50	1.5	15	2	2	3	3
117	50	10	15	4	50	1.5	25	2	2	5	3
118	40	5	10	6	60	3.5	45	8	2	3	3
119	40	5	10	4	60	1.5	25	2	2	5	3
120	50	5	10	6	40	1.5	35	2	4	5	2
121	20	10	10	4	60	1.5	35	2	4	3	1
122	20	10	10	4	40	3.5	45	2	4	3	1
123	30	5	10	4	50	3.5	35	5	4	5	1
124	30	10	15	4	50	3.5	15	2	2	5	3
125	20	10	15	4	40	3.5	35	2	2	5	2
126	30	5	10	6	60	3.5	45	5	4	3	1
127	20	10	10	4	60	3.5	35	8	4	3	1
128	50	10	10	4	50	1.5	35	8	2	3	3
129	50	5	15	6	50	1.5	35	5	4	3	3
130	20	5	15	6	50	3.5	45	2	4	3	1
131	30	10	10	6	60	3.5	15	5	4	5	3
132	50	5	15	6	50	1.5	35	2	4	3	3
133	20	5	10	6	60	1.5	35	2	2	3	1
134	40	10	10	4	60	3.5	45	5	4	3	1
135	50	5	15	6	50	1.5	45	8	2	3	2
136	30	5	15	4	60	1.5	15	8	2	5	3
137	30	10	10	4	60	1.5	25	5	2	5	3
138	40	10	10	6	40	3.5	35	2	4	3	3
139	30	5	15	6	40	1.5	15	5	2	3	3
140	30	5	10	6	40	3.5	15	5	4	5	3
141	30	10	15	6	40	3.5	15	2	2	3	3
142	40	5	10	6	60	3.5	35	2	2	5	3
143	50	10	10	6	40	3.5	15	5	4	3	3
144	40	5	10	6	60	3.5	25	5	2	5	3
145	20	10	15	6	60	1.5	25	8	4	3	1
146	20	5	10	4	40	1.5	15	5	2	3	3
147	50	5	10	4	50	3.5	15	2	2	3	3
148	50	10	15	6	50	1.5	25	2	4	5	3
149	50	10	15	4	40	3.5	25	8	4	3	3
150	40	5	10	4	50	1.5	15	2	2	3	3
151	20	5	15	4	50	3.5	35	2	4	3	1
152	20	10	15	4	50	3.5	45	5	2	3	1
153	50	10	15	4	40	1.5	45	2	4	3	3
154	50	5	15	4	60	3.5	35	8	2	5	3
155	20	10	15	6	40	1.5	35	8	2	3	1
156	30	5	15	4	40	1.5	45	5	2	3	2
157	20	10	10	4	40	1.5	15	5	2	3	3
158	40	10	10	6	60	1.5	15	8	2	3	3
159	50	10	15	4	50	1.5	45	8	2	5	2
160	40	10	10	6	40	3.5	15	8	4	3	3
161	20	10	10	4	40	1.5	15	8	4	5	3
162	30	5	10	6	60	3.5	15	2	2	3	3
163	30	5	10	4	50	1.5	15	8	2	5	3
164	20	5	10	4	50	1.5	25	5	2	5	1
165	30	10	15	4	60	3.5	25	5	4	3	3
166	30	5	10	6	60	3.5	35	5	2	5	1
167	50	10	15	4	50	3.5	35	8	2	3	2
168	40	5	15	4	40	1.5	45	2	4	5	2
169	50	5	15	6	40	1.5	25	8	4	3	3
170	20	5	15	4	40	1.5	25	2	4	5	1
171	50	10	15	4	50	1.5	45	2	2	5	2
172	50	5	10	6	40	3.5	45	2	2	5	2
173	40	5	10	6	50	3.5	35	2	4	5	3
174	50	10	15	6	40	1.5	25	5	4	5	3
175	50	10	10	4	40	3.5	45	5	4	3	2
176	50	5	15	4	50	1.5	35	8	4	3	3
177	40	10	10	4	50	1.5	25	8	4	3	3
178	40	5	10	4	60	3.5	15	2	4	5	3
179	50	5	15	4	50	3.5	25	5	4	5	3
180	20	5	10	6	50	1.5	35	8	4	3	1
181	20	5	10	4	40	3.5	45	5	2	3	1
182	30	5	15	6	40	1.5	45	2	4	5	2
183	30	10	15	6	60	1.5	15	8	2	3	3
184	50	10	15	4	60	1.5	25	2	4	3	3
185	50	10	10	6	50	1.5	45	2	4	3	2
186	20	10	10	6	60	1.5	15	2	4	3	3
187	50	5	15	6	40	1.5	25	5	2	3	3
188	30	10	15	4	50	3.5	45	5	4	5	1
189	30	5	10	4	40	3.5	45	2	2	3	2
190	30	10	10	6	60	3.5	25	2	2	3	3
191	40	5	10	4	40	3.5	35	8	4	5	2
192	40	10	10	4	60	1.5	45	2	2	3	3
193	30	5	15	4	60	3.5	25	8	2	5	1
194	20	5	15	4	60	1.5	15	5	4	5	3
195	30	5	10	6	40	1.5	15	2	2	5	3
196	40	10	10	4	60	1.5	35	8	4	3	3
197	50	5	15	6	60	1.5	25	5	2	5	3
198	50	5	10	6	40	1.5	35	5	2	5	2
199	20	5	15	4	60	3.5	35	5	2	3	1
200	40	10	10	4	50	3.5	15	2	2	3	3
201	50	10	15	4	50	3.5	15	8	2	5	3
202	30	10	10	4	50	1.5	25	2	2	3	3
203	50	10	10	6	60	3.5	45	8	2	5	3
204	50	10	10	6	50	3.5	15	8	2	5	3
205	30	5	10	6	50	1.5	35	8	2	3	1
206	20	5	10	4	50	3.5	35	8	4	3	1
207	40	10	15	6	40	1.5	35	5	2	3	2
208	40	10	10	4	50	3.5	25	5	4	5	3
209	30	5	10	4	40	1.5	45	5	4	3	2
210	20	5	15	6	40	1.5	45	5	4	5	1
211	40	10	10	4	60	1.5	25	8	2	5	3
212	20	10	10	4	50	1.5	35	8	4	3	1
213	40	5	15	6	60	3.5	35	8	4	3	3
214	30	5	10	4	60	1.5	25	8	4	5	1
215	20	5	10	6	50	1.5	25	8	4	5	1
216	50	5	15	4	50	3.5	45	8	4	3	2
217	20	5	10	4	60	1.5	35	5	2	3	1
218	50	5	15	4	50	1.5	15	8	2	3	3
219	30	10	10	6	50	1.5	25	2	4	3	3
220	40	10	10	4	50	1.5	25	8	4	3	3
221	50	5	15	4	50	1.5	15	5	2	3	3
222	40	10	10	6	60	1.5	35	2	4	5	3
223	40	10	10	6	60	3.5	15	2	4	3	3
224	50	5	15	6	60	3.5	35	5	4	5	3
225	50	5	15	6	40	3.5	15	8	2	5	3
226	20	10	10	6	40	1.5	35	2	4	5	1
227	20	5	15	6	40	3.5	15	8	4	3	3
228	30	10	15	4	60	1.5	35	8	4	3	3
229	30	10	10	4	50	3.5	25	8	4	5	3
230	30	5	10	4	60	3.5	35	8	4	5	1
231	50	10	10	4	60	1.5	45	2	4	3	3
232	50	10	15	4	40	1.5	35	2	2	3	3
233	50	10	10	6	60	1.5	25	8	4	5	3
234	30	10	10	6	50	3.5	45	5	2	3	1
235	30	5	10	4	60	3.5	25	8	4	5	3
236	20	10	10	6	40	1.5	35	8	2	3	1
237	50	5	15	4	60	3.5	15	8	4	5	3
238	20	5	15	6	40	3.5	25	5	2	3	1
239	20	10	10	4	60	3.5	35	5	4	5	1
240	40	10	15	6	60	1.5	45	2	2	3	3
241	40	10	10	6	40	1.5	25	2	4	3	3
242	30	5	15	4	60	3.5	15	2	4	3	3
243	40	5	10	6	40	3.5	45	2	2	3	2
244	50	10	10	6	40	3.5	35	5	2	5	2
245	30	5	15	6	50	1.5	15	8	2	5	3
246	30	10	10	6	60	1.5	35	5	2	3	3
247	40	10	15	4	50	1.5	15	2	4	3	3
248	30	5	15	6	60	1.5	35	8	2	3	1
249	40	5	15	4	60	1.5	25	8	2	3	3
250	50	10	15	4	40	1.5	45	8	2	5	2
251	20	10	15	4	50	3.5	25	2	2	5	1
252	40	5	10	4	50	1.5	35	2	4	3	3
253	30	5	15	4	50	3.5	15	2	2	5	3
254	20	10	10	6	50	3.5	25	2	2	5	1
255	30	10	15	6	50	1.5	45	8	2	3	1
256	20	5	15	4	40	1.5	15	2	4	5	3
257	50	10	15	6	60	3.5	25	2	4	5	3
258	20	10	10	4	50	1.5	45	5	2	5	1
259	30	5	10	6	40	3.5	15	5	4	5	3
260	20	10	10	6	50	3.5	45	2	2	5	1
261	50	10	15	6	60	3.5	35	8	4	3	3
262	40	5	10	6	60	1.5	35	5	2	5	3
263	40	10	10	6	50	3.5	45	2	2	5	1
264	30	5	15	4	40	3.5	15	5	2	3	3
265	50	10	10	4	40	3.5	35	8	4	3	2
266	30	5	15	4	50	3.5	15	5	2	5	3
267	50	5	15	4	50	3.5	35	8	4	5	2
268	20	10	15	4	40	1.5	35	2	4	5	1
269	20	10	15	6	40	1.5	45	2	2	3	1
270	40	5	15	4	50	1.5	15	5	4	5	3
271	40	5	15	6	50	3.5	45	2	2	3	3
272	20	5	15	6	50	1.5	45	8	2	5	1
273	50	10	10	4	60	1.5	15	5	4	3	3
274	30	5	15	6	60	3.5	35	2	2	5	3
275	30	10	15	6	60	3.5	25	8	4	5	3
276	40	10	10	4	50	1.5	45	5	2	3	3
277	20	10	10	6	50	3.5	15	8	4	5	1
278	30	10	10	4	50	1.5	15	8	4	5	3
279	40	10	10	4	60	1.5	45	2	2	5	3
280	30	5	15	4	50	1.5	25	2	4	5	3
281	50	5	15	6	60	1.5	15	2	4	5	3
282	30	5	10	6	40	1.5	45	8	2	5	2
283	50	10	15	4	40	1.5	15	2	4	5	3
284	30	5	10	6	60	1.5	45	2	2	5	1
285	40	5	10	4	60	1.5	15	8	4	5	3
286	50	10	10	4	60	1.5	15	8	4	3	3
287	50	10	15	6	50	1.5	25	2	4	5	3
288	20	10	15	4	50	1.5	25	5	2	5	3
289	50	10	15	4	50	3.5	15	2	4	5	3
290	30	5	15	6	60	1.5	15	8	2	5	3
291	30	5	15	6	50	3.5	45	2	4	5	1
292	20	5	10	4	60	1.5	35	5	4	5	1
293	40	5	10	4	60	1.5	45	5	4	3	1
294	20	10	15	4	40	1.5	25	8	2	3	1
295	20	10	15	6	40	3.5	15	2	4	3	3
296	20	5	10	4	60	3.5	35	2	2	5	1
297	50	10	10	6	60	3.5	15	5	2	3	3
298	30	10	15	4	60	1.5	45	2	2	5	1
299	40	5	10	4	40	3.5	45	8	4	5	2
300	50	10	15	4	40	3.5	15	5	4	5	3
301	30	5	10	6	60	3.5	35	5	4	3	1
302	30	10	15	4	50	3.5	45	8	4	5	1
303	40	10	15	6	50	1.5	15	2	2	5	3
304	50	5	10	4	40	1.5	15	2	4	5	3
305	30	5	15	6	60	1.5	35	8	4	3	1
306	40	10	15	6	50	3.5	15	5	4	5	3
307	50	10	15	6	40	1.5	15	8	4	5	3
308	40	5	10	6	40	3.5	15	5	4	3	3
309	30	10	15	4	60	1.5	35	2	2	3	3
310	50	10	15	6	40	3.5	15	2	4	3	3
311	30	5	10	6	50	3.5	25	2	4	3	3
312	40	5	10	6	40	3.5	35	8	4	3	3
313	40	10	10	4	40	3.5	25	2	2	5	3
314	30	10	15	6	40	1.5	35	5	2	3	3
315	50	5	10	6	50	1.5	45	5	4	5	2
316	50	5	10	6	40	1.5	45	2	2	5	2
317	20	5	10	6	40	1.5	15	2	4	3	3
318	20	5	10	6	60	3.5	15	5	4	5	3
319	50	5	15	6	60	1.5	25	5	2	5	3
320	40	5	10	6	40	3.5	35	5	2	5	3
321	20	10	10	4	40	1.5	45	5	4	5	1
322	50	5	10	4	50	1.5	35	2	2	5	3
323	50	5	15	6	50	3.5	45	2	2	5	3
324	20	10	10	6	40	1.5	15	5	2	3	3
325	20	10	15	6	40	3.5	35	8	4	3	1
326	20	5	10	4	60	3.5	15	8	4	5	1
327	50	10	10	4	60	1.5	25	5	4	5	3
328	50	5	15	6	50	3.5	15	2	4	3	3
329	50	10	10	4	60	1.5	45	2	2	3	3
330	20	5	10	4	40	3.5	25	5	2	3	3
331	50	10	15	4	60	1.5	45	8	2	5	3
332	50	5	15	4	60	1.5	25	2	2	5	3
333	40	5	15	4	50	1.5	35	2	2	3	3
334	30	5	15	6	60	1.5	45	5	4	5	1
335	30	5	15	4	50	3.5	45	5	4	3	3
336	20	5	10	6	40	1.5	15	2	2	5	3
337	50	5	10	4	60	1.5	45	2	4	5	3
338	50	10	15	6	40	1.5	45	2	4	3	2
339	50	5	10	4	50	3.5	45	2	2	5	3
340	20	5	10	4	60	1.5	25	2	2	5	1
341	50	10	15	4	60	1.5	45	8	4	3	3
342	30	10	10	4	40	3.5	15	8	4	5	3
343	40	10	15	4	60	1.5	35	2	4	5	3
344	40	10	10	4	40	3.5	25	5	2	3	3
345	20	10	15	6	60	1.5	15	2	4	3	3
346	20	10	10	6	50	3.5	35	2	4	5	1
347	20	5	15	4	60	1.5	25	5	2	5	1
348	20	5	15	6	60	3.5	45	8	4	5	1
349	20	10	10	4	60	1.5	15	2	2	5	3
350	40	5	10	6	50	3.5	25	5	2	5	3
351	40	5	15	4	60	3.5	35	2	2	5	3
352	20	5	10	4	60	3.5	45	5	2	3	1
353	40	10	10	6	60	1.5	15	5	4	3	3
354	50	10	15	6	40	1.5	15	5	4	3	3
355	20	5	15	4	40	1.5	45	8	2	3	1
356	30	5	10	4	50	3.5	35	8	2	5	1
357	20	5	10	4	60	3.5	45	2	4	5	1
358	40	10	10	4	40	1.5	25	5	2	3	3
359	20	10	10	4	40	3.5	15	8	4	3	3
360	40	10	15	6	60	3.5	45	2	4	5	3
361	30	5	15	4	40	3.5	45	5	2	5	2
362	20	5	15	4	40	3.5	45	2	2	5	1
363	20	5	15	6	60	3.5	15	5	2	5	3
364	20	5	10	4	50	1.5	25	8	4	3	1
365	20	10	15	6	50	1.5	35	2	4	3	1
366	50	10	10	4	40	3.5	15	2	2	3	3
367	30	5	15	4	50	1.5	45	8	2	5	1
368	30	5	15	4	60	3.5	15	8	2	5	3
369	30	5	15	4	50	3.5	35	8	2	3	3
370	50	5	15	4	60	3.5	35	8	4	3	3
371	50	10	15	4	50	3.5	25	2	4	5	3
372	40	5	10	6	50	1.5	45	5	2	5	2
373	50	10	10	4	50	1.5	25	5	2	3	3
374	30	5	10	6	60	1.5	15	2	4	5	3
375	50	10	15	4	40	3.5	15	8	4	3	3
376	20	10	15	6	40	3.5	25	2	2	5	1
377	20	5	15	4	40	3.5	45	5	2	5	1
378	40	10	15	4	50	1.5	25	8	4	3	3
379	50	10	10	6	40	3.5	45	8	4	3	2
380	20	5	10	6	40	3.5	35	5	2	3	1
381	30	10	10	6	60	3.5	15	2	4	3	3
382	50	10	15	6	50	1.5	35	2	4	5	3
383	20	10	15	4	60	1.5	15	2	4	5	3
384	50	5	10	6	40	1.5	45	2	4	3	2
385	50	5	15	4	50	3.5	45	8	2	3	2
386	50	10	10	6	50	3.5	25	2	2	5	3
387	50	10	15	6	60	3.5	25	5	2	3	3
388	20	10	15	4	40	3.5	25	2	4	5	1
389	40	5	15	6	60	1.5	25	8	2	5	3
390	40	5	15	6	60	1.5	35	5	4	3	3
391	50	10	15	4	50	3.5	15	2	2	5	3
392	30	5	15	6	60	1.5	35	5	2	5	1
393	30	10	15	6	40	1.5	15	8	2	5	3
394	30	5	10	4	60	3.5	45	5	4	5	1
395	40	5	10	6	40	3.5	35	2	4	3	3
396	20	5	10	6	60	3.5	35	8	4	5	1
397	20	5	10	6	40	3.5	25	5	2	3	1
398	20	10	15	6	60	1.5	15	8	2	3	3
399	40	10	15	4	40	3.5	15	2	4	5	3
400	40	10	10	4	60	3.5	35	5	2	5	1
401	40	5	15	4	60	1.5	35	2	2	5	3
402	20	5	10	4	60	3.5	25	5	2	3	3
403	50	5	15	4	60	1.5	45	8	4	5	2
404	50	5	10	4	60	3.5	15	8	4	5	3
405	40	10	15	6	40	1.5	15	5	4	3	3
406	50	5	10	6	60	1.5	25	5	2	5	3
407	50	10	10	6	60	1.5	25	2	4	5	3
408	50	10	10	6	60	3.5	45	2	2	5	3
409	30	10	15	6	40	1.5	25	2	4	5	2
410	40	5	15	4	60	1.5	25	2	2	3	3
411	50	5	15	4	50	3.5	25	8	2	5	3
412	50	10	10	6	60	1.5	15	5	4	5	3
413	20	10	15	6	60	3.5	25	2	2	3	3
414	40	5	10	6	40	3.5	35	2	4	5	2
415	40	10	10	4	40	3.5	25	8	4	5	3
416	50	10	15	6	40	1.5	15	5	2	5	3
417	20	10	15	6	50	3.5	45	8	4	3	1
418	20	10	10	4	40	1.5	35	2	4	3	1
419	50	5	15	6	40	3.5	35	2	4	5	2
420	50	10	15	4	50	3.5	35	2	4	3	3
421	50	10	15	4	60	1.5	35	8	4	5	3
422	30	10	15	6	60	1.5	45	2	4	5	1
423	30	10	15	6	50	1.5	45	2	4	5	1
424	20	5	10	6	40	1.5	25	5	2	5	1
425	40	5	15	4	60	1.5	35	8	4	5	3
426	40	5	10	4	60	3.5	45	8	4	3	1
427	50	10	10	4	50	3.5	35	2	2	5	3
428	20	5	15	6	40	3.5	15	5	4	5	3
429	40	5	10	6	60	1.5	35	2	4	3	3
430	50	5	10	4	50	1.5	45	5	2	5	2
431	50	10	15	6	60	3.5	45	2	4	5	3
432	30	5	15	6	40	1.5	45	8	4	3	2
433	40	10	15	4	50	3.5	35	5	4	3	3
434	20	5	10	4	60	3.5	15	2	4	3	3
435	20	5	10	6	60	3.5	45	5	2	3	1
436	40	5	15	6	40	1.5	35	2	4	5	2
437	50	10	15	4	40	1.5	15	2	2	5	3
438	40	5	15	6	50	3.5	15	5	4	3	3
439	30	5	10	4	50	1.5	15	2	2	3	3
440	40	5	15	4	40	1.5	25	5	4	3	3
441	30	10	15	6	50	3.5	25	2	4	3	3
442	30	5	10	6	40	3.5	45	8	2	5	2
443	30	10	10	6	60	1.5	25	2	2	5	3
444	30	10	15	6	50	3.5	45	5	4	3	1
445	20	5	10	6	40	3.5	35	8	2	3	1
446	50	5	15	6	50	3.5	45	2	2	3	3
447	30	5	10	4	60	1.5	15	2	2	5	3
448	50	5	15	6	60	1.5	25	5	4	5	3
449	40	5	10	4	40	1.5	35	5	2	3	3
450	30	5	15	4	40	1.5	25	8	2	5	3
451	20	5	15	4	40	1.5	35	2	2	5	1
452	40	5	15	4	60	3.5	25	8	2	3	3
453	30	5	10	4	60	3.5	35	5	4	3	1
454	30	5	10	4	40	1.5	35	5	4	5	2
455	40	10	10	6	40	3.5	35	8	2	5	2
456	30	5	10	4	40	3.5	45	5	4	5	2
457	20	10	15	6	50	3.5	45	5	4	5	1
458	50	5	15	4	40	3.5	15	2	4	3	3
459	50	5	15	4	50	1.5	25	8	2	5	3
460	50	10	10	4	40	1.5	35	2	4	5	2
461	50	5	15	6	60	1.5	25	5	4	5	3
462	50	10	10	6	40	3.5	45	5	2	5	2
463	40	5	15	6	60	3.5	45	5	2	3	3
464	50	5	15	6	60	1.5	35	8	4	5	3
465	40	10	10	4	60	3.5	45	8	4	5	1
466	50	5	10	6	50	1.5	35	8	2	3	3
467	20	10	15	4	50	3.5	25	8	4	5	1
468	40	5	10	4	40	1.5	35	8	4	5	2
469	50	5	10	4	60	3.5	15	2	2	5	3
470	30	10	15	6	40	3.5	15	2	4	5	3
471	20	10	10	4	50	3.5	15	5	4	5	3
472	40	10	10	6	50	3.5	45	5	2	5	2
473	30	10	15	4	40	3.5	45	2	4	3	1
474	40	5	10	4	40	3.5	35	5	2	3	3
475	30	5	15	6	40	1.5	15	8	2	5	3
476	30	5	15	6	60	1.5	25	8	2	5	3
477	40	10	15	6	60	3.5	15	5	2	5	3
478	20	10	10	6	60	1.5	35	8	2	3	1
479	30	10	15	4	40	1.5	35	8	4	5	2
480	30	10	15	4	40	1.5	45	8	2	5	2
481	30	10	15	4	50	3.5	35	8	4	5	1
482	20	5	10	4	60	3.5	45	2	4	5	1
483	20	5	15	6	50	1.5	15	8	2	3	3
484	50	5	15	4	50	1.5	15	5	2	3	3
485	30	5	10	4	50	1.5	25	5	2	3	1
486	30	10	15	6	60	3.5	15	5	4	3	3
487	20	10	10	4	50	1.5	25	2	4	5	1
488	30	5	15	4	60	1.5	15	8	2	5	3
489	50	5	10	4	40	3.5	45	2	2	5	2
490	40	5	10	4	50	3.5	15	8	2	5	3
491	30	5	15	4	50	1.5	45	2	2	3	3
492	50	10	15	4	50	1.5	45	5	2	3	3
493	50	10	15	4	60	1.5	45	5	2	3	3
494	30	5	15	6	50	3.5	15	2	2	3	3
495	40	5	15	6	60	1.5	15	8	2	3	3
496	20	10	10	6	60	3.5	45	2	2	5	1
497	50	10	10	4	50	1.5	45	5	2	3	3
498	20	10	15	6	60	1.5	45	2	2	5	1
499	50	5	15	4	40	1.5	45	5	4	3	2
500	30	5	15	4	60	3.5	45	2	2	5	3
501	30	5	15	6	50	3.5	15	5	2	3	3
502	30	10	10	6	50	1.5	35	2	4	3	3
503	50	5	10	6	50	1.5	25	5	4	3	3
504	40	10	10	6	60	3.5	35	8	4	5	3
505	20	10	15	6	40	3.5	45	5	2	5	1
506	50	5	15	4	40	1.5	15	2	4	5	3
507	40	10	15	6	50	3.5	35	2	2	3	3
508	50	5	10	4	50	3.5	25	8	4	5	3
509	50	5	15	6	60	1.5	25	8	2	5	3
510	50	5	10	4	50	3.5	45	8	4	5	2
511	20	5	15	4	50	1.5	25	5	4	3	3
512	30	5	10	6	60	1.5	15	2	2	5	3
513	50	5	10	4	60	3.5	15	5	4	3	3
514	20	10	10	4	40	1.5	15	2	4	5	3
515	50	5	15	4	60	3.5	25	8	4	5	3
516	20	10	15	4	50	3.5	45	5	2	5	1
517	40	10	10	6	40	1.5	15	5	2	3	3
518	50	5	15	4	60	1.5	45	2	2	3	3
519	30	5	10	4	40	1.5	15	8	4	3	3
520	50	5	10	6	40	3.5	35	5	4	3	3
521	40	10	15	6	50	3.5	25	2	4	5	3
522	40	10	15	4	40	1.5	35	2	4	3	3
523	40	10	10	6	60	3.5	25	5	4	5	3
524	50	5	10	6	40	3.5	45	8	2	3	2
525	20	5	15	6	50	1.5	45	8	2	3	1
526	50	5	10	4	50	3.5	15	8	2	3	3
527	20	5	15	4	50	3.5	25	2	4	5	3
528	50	5	15	4	50	3.5	15	8	2	3	3
529	30	10	15	4	40	3.5	25	8	4	3	3
530	40	10	10	6	50	1.5	35	2	2	5	3
531	50	5	15	4	40	3.5	25	2	4	5	3
532	40	5	10	6	50	3.5	45	5	4	5	3
533	50	10	10	6	50	1.5	15	8	2	3	3
